source,species_dir,organism,clade,candidate_id,gene_label,reference_type,subfamily,protein_length,exon_count,tm_helix_count,reference_identity,best_reference_hit,rank_category,discovery_batch
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-3__Q19746,inx-3,other/unknown,unassigned,420,,,1.0,inx-3|Q19746,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-5__Q23027,inx-5,other/unknown,unassigned,447,,,1.0,inx-5|Q23027,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-6__Q9U3N4,inx-6,other/unknown,unassigned,389,,,1.0,inx-6|Q9U3N4,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-7__Q21123,inx-7,other/unknown,unassigned,556,,,1.0,inx-7|Q21123,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,inx-8__Q23593,inx-8,other/unknown,unassigned,382,,,1.0,inx-8|Q23593,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,unc-7__Q03412,unc-7,unc-7,SF3_Inx3_Inx7_nematode,522,,,1.0,unc-7|Q03412,reference,reference_db
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Reference nematode,unc-9__O01393,unc-9,unc-9,SF3_Inx3_Inx7_nematode,386,,,1.0,unc-9|O01393,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,Inx2__Q9V427,Inx2,Inx2,SF4_Inx2_expansion,367,,,1.0,Inx2|Q9V427,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,Inx3__Q9VAS7,Inx3,Inx3,SF3_Inx3_Inx7_nematode,395,,,1.0,Inx3|Q9VAS7,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,Inx5__Q9VWL5,Inx5,Inx5,SF4_Inx2_expansion,419,,,1.0,Inx5|Q9VWL5,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,Inx6__Q9VR82,Inx6,Inx6,SF4_Inx2_expansion,481,,,1.0,Inx6|Q9VR82,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,Inx7__Q9V3W6,Inx7,Inx7,SF3_Inx3_Inx7_nematode,438,,,1.0,Inx7|Q9V3W6,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,ogre__P27716,ogre,Inx1/ogre,SF2_Inx1_ogre,362,,,1.0,ogre|P27716,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,shakB__P33085,shakB,shakB,SF1_shakB,372,,,1.0,shakB|P33085,reference,reference_db
reference_db,Drosophila_melanogaster,Drosophila melanogaster,Reference insect,zpg__Q9VRX6,zpg,Inx4/zpg,SF4_Inx2_expansion,367,,,1.0,zpg|Q9VRX6,reference,reference_db
reference_db,Schistocerca_americana,Schistocerca americana,Reference insect,inx1__Q9XYN0,inx1,Inx1/ogre,SF2_Inx1_ogre,361,,,1.0,inx1|Q9XYN0,reference,reference_db
reference_db,Schistocerca_americana,Schistocerca americana,Reference insect,inx2__Q9XYN1,inx2,Inx2,SF4_Inx2_expansion,359,,,1.0,inx2|Q9XYN1,reference,reference_db
discovery_old,Adineta_vaga,Adineta vaga,Rotifera,candidate_inx_008,,other/unknown,unassigned,207,5,4,0.0,,weak_manual_review,innexin_discovery
discovery_old,Adineta_vaga,Adineta vaga,Rotifera,candidate_inx_028,,other/unknown,unassigned,376,2,2,0.0,,weak_manual_review,innexin_discovery
discovery_old,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),candidate_inx_005,,other/unknown,unassigned,79,1,3,0.0,,weak_manual_review,innexin_discovery
discovery_old,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,candidate_inx_004,,other/unknown,unassigned,153,1,1,0.0,,weak_manual_review,innexin_discovery
discovery_old,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),candidate_inx_001,,other/unknown,unassigned,552,1,11,0.0,,high_confidence_innexin_candidate,innexin_discovery
discovery_old,Mnemiopsis_leidyi,Mnemiopsis leidyi,Ctenophora,candidate_inx_001,,other/unknown,unassigned,276,1,1,0.0,,weak_manual_review,innexin_discovery
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_001,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3874,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_002,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3874,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_003,,unc-7,SF3_Inx3_Inx7_nematode,372,0,0,0.4036,sp|Q03412|UNC7_CAEEL 129 501,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_004,,unc-7,SF3_Inx3_Inx7_nematode,372,0,0,0.4036,sp|Q03412|UNC7_CAEEL 129 501,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_005,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3665,sp|O01393|UNC9_CAEEL 13 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_006,,Inx2,SF4_Inx2_expansion,385,0,0,0.2451,sp|Q9XYN1|INX2_SCHAM 1 357,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_007,,unc-9,SF3_Inx3_Inx7_nematode,382,0,0,0.3613,sp|O01393|UNC9_CAEEL 20 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_008,,unc-9,SF3_Inx3_Inx7_nematode,377,0,0,0.4085,sp|O01393|UNC9_CAEEL 12 380,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_009,,unc-9,SF3_Inx3_Inx7_nematode,377,0,0,0.4085,sp|O01393|UNC9_CAEEL 12 380,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_010,,Inx7,SF3_Inx3_Inx7_nematode,295,0,0,0.2686,sp|Q9V3W6|INX7_DROME 22 304,curator_present_innexin,gene_curator_probe
curator_new,Abra_alba,Abra alba,Mollusca,curator_inx_011,,unc-7,SF3_Inx3_Inx7_nematode,388,0,0,0.3543,sp|Q03412|UNC7_CAEEL 130 520,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_012,,unc-7,SF3_Inx3_Inx7_nematode,387,0,0,0.3832,sp|Q03412|UNC7_CAEEL 122 504,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_013,,unc-7,SF3_Inx3_Inx7_nematode,363,0,0,0.4301,sp|Q03412|UNC7_CAEEL 136 498,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_014,,unc-9,SF3_Inx3_Inx7_nematode,382,0,0,0.3586,sp|O01393|UNC9_CAEEL 20 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_015,,Inx2,SF4_Inx2_expansion,273,0,0,0.3013,sp|Q9XYN1|INX2_SCHAM 20 321,weak_manual_review,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_016,,unc-7,SF3_Inx3_Inx7_nematode,402,0,0,0.3961,sp|Q03412|UNC7_CAEEL 119 522,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_017,,Inx2,SF4_Inx2_expansion,292,0,0,0.276,sp|Q9XYN1|INX2_SCHAM 13 284,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_018,,unc-9,SF3_Inx3_Inx7_nematode,393,0,0,0.3782,sp|O01393|UNC9_CAEEL 1 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_019,,unc-9,SF3_Inx3_Inx7_nematode,393,0,0,0.3782,sp|O01393|UNC9_CAEEL 1 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_020,,unc-9,SF3_Inx3_Inx7_nematode,393,0,0,0.3782,sp|O01393|UNC9_CAEEL 1 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_021,,Inx2,SF4_Inx2_expansion,385,0,0,0.2426,sp|Q9XYN1|INX2_SCHAM 1 357,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_022,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3848,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_023,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3848,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_024,,unc-9,SF3_Inx3_Inx7_nematode,380,0,0,0.3472,sp|O01393|UNC9_CAEEL 13 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_025,,Inx7,SF3_Inx3_Inx7_nematode,380,0,0,0.2655,sp|Q9V3W6|INX7_DROME 22 377,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_026,,Inx7,SF3_Inx3_Inx7_nematode,298,0,0,0.2623,sp|Q9V3W6|INX7_DROME 101 377,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_027,,unc-9,SF3_Inx3_Inx7_nematode,380,0,0,0.3446,sp|O01393|UNC9_CAEEL 13 386,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_028,,Inx7,SF3_Inx3_Inx7_nematode,379,0,0,0.2513,sp|Q9V3W6|INX7_DROME 22 377,curator_present_innexin,gene_curator_probe
curator_new,Abra_segmentum,Abra segmentum,Mollusca,curator_inx_029,,Inx7,SF3_Inx3_Inx7_nematode,298,0,0,0.2525,sp|Q9V3W6|INX7_DROME 101 377,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_030,,unc-7,SF3_Inx3_Inx7_nematode,394,0,0,0.3645,sp|Q03412|UNC7_CAEEL 130 522,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_031,,unc-7,SF3_Inx3_Inx7_nematode,376,0,0,0.3747,sp|Q03412|UNC7_CAEEL 138 508,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_032,,unc-9,SF3_Inx3_Inx7_nematode,372,0,0,0.3627,sp|O01393|UNC9_CAEEL 20 386,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_033,,unc-9,SF3_Inx3_Inx7_nematode,364,0,0,0.3607,sp|O01393|UNC9_CAEEL 20 379,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_034,,unc-7,SF3_Inx3_Inx7_nematode,373,0,0,0.3792,sp|Q03412|UNC7_CAEEL 130 502,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_035,,unc-7,SF3_Inx3_Inx7_nematode,368,0,0,0.4198,sp|Q03412|UNC7_CAEEL 136 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_036,,unc-7,SF3_Inx3_Inx7_nematode,368,0,0,0.4198,sp|Q03412|UNC7_CAEEL 136 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_037,,unc-7,SF3_Inx3_Inx7_nematode,368,0,0,0.4225,sp|Q03412|UNC7_CAEEL 136 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_038,,shakB,SF1_shakB,283,0,0,0.2783,sp|Q1DH70|SHAKB_AEDAE 1 275,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_039,,unc-9,SF3_Inx3_Inx7_nematode,386,0,0,0.3497,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_040,,unc-9,SF3_Inx3_Inx7_nematode,386,0,0,0.3446,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_041,,unc-9,SF3_Inx3_Inx7_nematode,386,0,0,0.3446,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_042,,unc-9,SF3_Inx3_Inx7_nematode,416,0,0,0.3077,sp|O01393|UNC9_CAEEL 20 386,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_043,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3701,sp|O01393|UNC9_CAEEL 13 386,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_044,,unc-7,SF3_Inx3_Inx7_nematode,389,0,0,0.3873,sp|Q03412|UNC7_CAEEL 119 501,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_045,,unc-9,SF3_Inx3_Inx7_nematode,382,0,0,0.3688,sp|O01393|UNC9_CAEEL 1 378,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_046,,unc-9,SF3_Inx3_Inx7_nematode,382,0,0,0.3688,sp|O01393|UNC9_CAEEL 1 378,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_047,,unc-7,SF3_Inx3_Inx7_nematode,380,0,0,0.3805,sp|Q03412|UNC7_CAEEL 139 522,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_048,,unc-9,SF3_Inx3_Inx7_nematode,377,0,0,0.3687,sp|O01393|UNC9_CAEEL 13 382,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_049,,unc-9,SF3_Inx3_Inx7_nematode,377,0,0,0.3687,sp|O01393|UNC9_CAEEL 13 382,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_050,,unc-7,SF3_Inx3_Inx7_nematode,364,0,0,0.3649,sp|Q03412|UNC7_CAEEL 138 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_051,,unc-7,SF3_Inx3_Inx7_nematode,373,0,0,0.3974,sp|Q03412|UNC7_CAEEL 129 502,curator_present_innexin,gene_curator_probe
curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,curator_inx_052,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.3812,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_053,,unc-7,SF3_Inx3_Inx7_nematode,387,0,0,0.3864,sp|Q03412|UNC7_CAEEL 115 501,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_054,,unc-7,SF3_Inx3_Inx7_nematode,374,0,0,0.3757,sp|Q03412|UNC7_CAEEL 129 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_055,,unc-7,SF3_Inx3_Inx7_nematode,371,0,0,0.3651,sp|Q03412|UNC7_CAEEL 129 503,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_056,,unc-9,SF3_Inx3_Inx7_nematode,365,0,0,0.3616,sp|O01393|UNC9_CAEEL 20 377,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_057,,unc-7,SF3_Inx3_Inx7_nematode,367,0,0,0.382,sp|Q03412|UNC7_CAEEL 138 505,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_058,,unc-9,SF3_Inx3_Inx7_nematode,381,0,0,0.4136,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,curator_inx_059,,shakB,SF1_shakB,386,0,0,0.2351,sp|Q1DH70|SHAKB_AEDAE 1 359,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_060,,Inx3,SF3_Inx3_Inx7_nematode,285,0,0,0.3937,sp|Q9VAS7|INX3_DROME 58 337,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_061,,Inx2,SF4_Inx2_expansion,238,0,0,0.4496,sp|Q9XYN1|INX2_SCHAM 52 285,weak_manual_review,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_062,,Inx1/ogre,SF2_Inx1_ogre,337,0,0,0.4855,sp|P27716|INX1_DROME 1 343,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_063,,Inx1/ogre,SF2_Inx1_ogre,337,0,0,0.4855,sp|P27716|INX1_DROME 1 343,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_064,,Inx1/ogre,SF2_Inx1_ogre,337,0,0,0.4855,sp|P27716|INX1_DROME 1 343,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_065,,shakB,SF1_shakB,357,0,0,0.6788,sp|Q1DH70|SHAKB_AEDAE 1 356,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_066,,shakB,SF1_shakB,356,0,0,0.6947,sp|P33085|SHAKB_DROME 1 357,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_067,,shakB,SF1_shakB,356,0,0,0.6947,sp|P33085|SHAKB_DROME 1 357,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_068,,shakB,SF1_shakB,356,0,0,0.6947,sp|P33085|SHAKB_DROME 1 357,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_069,,Inx1/ogre,SF2_Inx1_ogre,362,0,0,0.4463,sp|P27716|INX1_DROME 1 362,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_070,,Inx1/ogre,SF2_Inx1_ogre,362,0,0,0.4463,sp|P27716|INX1_DROME 1 362,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_071,,Inx1/ogre,SF2_Inx1_ogre,362,0,0,0.4463,sp|P27716|INX1_DROME 1 362,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_072,,shakB,SF1_shakB,355,0,0,0.6826,sp|P33085|SHAKB_DROME 1 356,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_073,,shakB,SF1_shakB,355,0,0,0.6826,sp|P33085|SHAKB_DROME 1 356,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_074,,Inx2,SF4_Inx2_expansion,359,0,0,0.6462,sp|Q9XYN1|INX2_SCHAM 1 359,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_075,,Inx2,SF4_Inx2_expansion,353,0,0,0.6431,sp|Q9V427|INX2_DROME 1 353,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_076,,Inx2,SF4_Inx2_expansion,359,0,0,0.6462,sp|Q9XYN1|INX2_SCHAM 1 359,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_077,,Inx2,SF4_Inx2_expansion,343,0,0,0.4744,sp|Q9V427|INX2_DROME 1 351,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_078,,Inx2,SF4_Inx2_expansion,368,0,0,0.4402,sp|Q9XYN1|INX2_SCHAM 1 352,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_079,,Inx1/ogre,SF2_Inx1_ogre,279,0,0,0.4366,sp|P27716|INX1_DROME 1 280,weak_manual_review,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_080,,Inx3,SF3_Inx3_Inx7_nematode,247,0,0,0.412,sp|Q9VAS7|INX3_DROME 66 310,weak_manual_review,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_081,,Inx2,SF4_Inx2_expansion,351,0,0,0.4759,sp|Q9XYN1|INX2_SCHAM 1 349,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_082,,Inx2,SF4_Inx2_expansion,249,0,0,0.494,sp|Q9V427|INX2_DROME 101 349,weak_manual_review,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_083,,Inx3,SF3_Inx3_Inx7_nematode,222,0,0,0.4493,sp|Q9VAS7|INX3_DROME 73 299,weak_manual_review,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_084,,shakB,SF1_shakB,324,0,0,0.6574,sp|P33085|SHAKB_DROME 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_085,,shakB,SF1_shakB,324,0,0,0.6574,sp|P33085|SHAKB_DROME 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_086,,shakB,SF1_shakB,324,0,0,0.6574,sp|P33085|SHAKB_DROME 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_087,,Inx1/ogre,SF2_Inx1_ogre,327,0,0,0.4924,sp|P27716|INX1_DROME 23 347,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_088,,shakB,SF1_shakB,324,0,0,0.6636,sp|Q1DH70|SHAKB_AEDAE 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_089,,shakB,SF1_shakB,324,0,0,0.6636,sp|Q1DH70|SHAKB_AEDAE 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_090,,shakB,SF1_shakB,324,0,0,0.6605,sp|P33085|SHAKB_DROME 23 345,curator_present_innexin,gene_curator_probe
curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),curator_inx_091,,shakB,SF1_shakB,310,0,0,0.3844,sp|Q1DH70|SHAKB_AEDAE 60 372,curator_present_innexin,gene_curator_probe
curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,curator_inx_092,,unc-9,SF3_Inx3_Inx7_nematode,372,0,0,0.3432,sp|O01393|UNC9_CAEEL 20 369,curator_present_innexin,gene_curator_probe
curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,curator_inx_093,,unc-7,SF3_Inx3_Inx7_nematode,379,0,0,0.3026,sp|Q03412|UNC7_CAEEL 136 509,curator_present_innexin,gene_curator_probe
